sector,sector_weight,symbol,weight,as_of_date
Capital Goods,15.88,ASHOKLEY,3.53,31-07-2026
Capital Goods,15.88,BHEL,4.4,31-07-2026
Capital Goods,15.88,POLYCAB,3.61,31-07-2026
Capital Goods,15.88,SUZLON,4.33,31-07-2026
Financial Services,35.28,AUBANK,4.4,31-07-2026
Financial Services,35.28,BSE,11.06,31-07-2026
Financial Services,35.28,INDIANB,2.19,31-07-2026
Financial Services,35.28,INDUSINDBK,4.95,31-07-2026
Financial Services,35.28,LICI,1.4,31-07-2026
Financial Services,35.28,PAYTM,4.2,31-07-2026
Financial Services,35.28,POLICYBZR,4.11,31-07-2026
Financial Services,35.28,YESBANK,2.97,31-07-2026
Healthcare,11.25,AUROPHARMA,3.25,31-07-2026
Healthcare,11.25,FORTIS,3.65,31-07-2026
Healthcare,11.25,LUPIN,4.35,31-07-2026
Automobile and Auto Components,9.54,BHARATFORG,4.35,31-07-2026
Automobile and Auto Components,9.54,HEROMOTOCO,5.19,31-07-2026
Consumer Durables,4.33,DIXON,4.33,31-07-2026
Oil Gas & Consumable Fuels,2.78,HINDPETRO,2.78,31-07-2026
Telecommunication,3.74,INDUSTOWER,3.74,31-07-2026
Fast Moving Consumer Goods,3.42,MARICO,3.42,31-07-2026
Consumer Services,6.48,NAUKRI,3.48,31-07-2026
Consumer Services,6.48,SWIGGY,3.0,31-07-2026
Information Technology,4.47,PERSISTENT,4.47,31-07-2026
Chemicals,2.83,SRF,2.83,31-07-2026
