sector,sector_weight,symbol,weight,as_of_date
Diversified,0.93,3MINDIA,0.93,31-07-2026
Capital Goods,27.21,ABB,3.66,31-07-2026
Capital Goods,27.21,ASHOKLEY,4.55,31-07-2026
Capital Goods,27.21,CUMMINSIND,7.13,31-07-2026
Capital Goods,27.21,ENRIN,2.73,31-07-2026
Capital Goods,27.21,ESCORTS,0.98,31-07-2026
Capital Goods,27.21,POWERINDIA,3.91,31-07-2026
Capital Goods,27.21,SIEMENS,3.18,31-07-2026
Capital Goods,27.21,TIMKEN,1.08,31-07-2026
Healthcare,3.95,ABBOTINDIA,1.39,31-07-2026
Healthcare,3.95,COHANCE,0.66,31-07-2026
Healthcare,3.95,GLAND,1.91,31-07-2026
Construction Materials,2.58,AMBUJACEM,2.58,31-07-2026
Fast Moving Consumer Goods,34.84,AWL,1.01,31-07-2026
Fast Moving Consumer Goods,34.84,BRITANNIA,6.1,31-07-2026
Fast Moving Consumer Goods,34.84,COLPAL,2.62,31-07-2026
Fast Moving Consumer Goods,34.84,HINDUNILVR,9.5,31-07-2026
Fast Moving Consumer Goods,34.84,NESTLEIND,10.35,31-07-2026
Fast Moving Consumer Goods,34.84,UBL,0.98,31-07-2026
Fast Moving Consumer Goods,34.84,UNITDSPR,4.28,31-07-2026
Automobile and Auto Components,18.44,BOSCHLTD,3.41,31-07-2026
Automobile and Auto Components,18.44,HYUNDAI,2.97,31-07-2026
Automobile and Auto Components,18.44,MARUTI,10.48,31-07-2026
Automobile and Auto Components,18.44,SCHAEFFLER,1.57,31-07-2026
Oil Gas & Consumable Fuels,0.85,CASTROLIND,0.85,31-07-2026
Financial Services,3.01,CRISIL,1.02,31-07-2026
Financial Services,3.01,NAM-INDIA,1.99,31-07-2026
Chemicals,1.36,LINDEINDIA,1.36,31-07-2026
Information Technology,2.55,OFSS,2.55,31-07-2026
Metals & Mining,4.28,VEDL,4.28,31-07-2026
