sector,sector_weight,symbol,weight,as_of_date
Services,15.28,ADANIPORTS,6.42,31-07-2026
Services,15.28,CONCOR,0.93,31-07-2026
Services,15.28,GMRAIRPORT,1.92,31-07-2026
Services,15.28,INDIGO,6.01,31-07-2026
Capital Goods,7.12,ASHOKLEY,2.44,31-07-2026
Capital Goods,7.12,TMCV,4.68,31-07-2026
Automobile and Auto Components,56.47,BAJAJ-AUTO,6.55,31-07-2026
Automobile and Auto Components,56.47,BALKRISIND,1.02,31-07-2026
Automobile and Auto Components,56.47,BHARATFORG,3.01,31-07-2026
Automobile and Auto Components,56.47,BOSCHLTD,1.83,31-07-2026
Automobile and Auto Components,56.47,EICHERMOT,5.54,31-07-2026
Automobile and Auto Components,56.47,HEROMOTOCO,3.59,31-07-2026
Automobile and Auto Components,56.47,HYUNDAI,1.6,31-07-2026
Automobile and Auto Components,56.47,M&M,8.33,31-07-2026
Automobile and Auto Components,56.47,MARUTI,8.07,31-07-2026
Automobile and Auto Components,56.47,MOTHERSON,3.42,31-07-2026
Automobile and Auto Components,56.47,MRF,1.38,31-07-2026
Automobile and Auto Components,56.47,SONACOMS,1.77,31-07-2026
Automobile and Auto Components,56.47,TIINDIA,1.51,31-07-2026
Automobile and Auto Components,56.47,TMPV,3.64,31-07-2026
Automobile and Auto Components,56.47,TVSMOTOR,5.2,31-07-2026
Oil Gas & Consumable Fuels,9.43,BPCL,1.37,31-07-2026
Oil Gas & Consumable Fuels,9.43,GAIL,1.04,31-07-2026
Oil Gas & Consumable Fuels,9.43,HINDPETRO,0.79,31-07-2026
Oil Gas & Consumable Fuels,9.43,IOC,1.11,31-07-2026
Oil Gas & Consumable Fuels,9.43,PETRONET,0.45,31-07-2026
Oil Gas & Consumable Fuels,9.43,RELIANCE,4.68,31-07-2026
Consumer Services,11.7,ETERNAL,8.87,31-07-2026
Consumer Services,11.7,IRCTC,0.76,31-07-2026
Consumer Services,11.7,SWIGGY,2.08,31-07-2026
