sector,sector_weight,symbol,weight,as_of_date
Financial Services,100.0,360ONE,2.66,31-07-2026
Financial Services,100.0,ABCAPITAL,3.02,31-07-2026
Financial Services,100.0,ANGELONE,1.75,31-07-2026
Financial Services,100.0,AUBANK,5.37,31-07-2026
Financial Services,100.0,BANDHANBNK,1.44,31-07-2026
Financial Services,100.0,BANKINDIA,1.52,31-07-2026
Financial Services,100.0,BSE,13.5,31-07-2026
Financial Services,100.0,CAMS,1.73,31-07-2026
Financial Services,100.0,CDSL,2.15,31-07-2026
Financial Services,100.0,FEDERALBNK,8.01,31-07-2026
Financial Services,100.0,HUDCO,0.89,31-07-2026
Financial Services,100.0,ICICIGI,3.57,31-07-2026
Financial Services,100.0,ICICIPRULI,1.85,31-07-2026
Financial Services,100.0,IDFCFIRSTB,5.09,31-07-2026
Financial Services,100.0,IEX,0.95,31-07-2026
Financial Services,100.0,INDIANB,2.68,31-07-2026
Financial Services,100.0,INDUSINDBK,6.04,31-07-2026
Financial Services,100.0,KFINTECH,1.14,31-07-2026
Financial Services,100.0,LICHSGFIN,1.42,31-07-2026
Financial Services,100.0,LICI,1.71,31-07-2026
Financial Services,100.0,LTF,2.41,31-07-2026
Financial Services,100.0,MANAPPURAM,1.85,31-07-2026
Financial Services,100.0,MCX,6.22,31-07-2026
Financial Services,100.0,MFSL,3.6,31-07-2026
Financial Services,100.0,PAYTM,5.12,31-07-2026
Financial Services,100.0,PNBHOUSING,1.79,31-07-2026
Financial Services,100.0,POLICYBZR,5.02,31-07-2026
Financial Services,100.0,RBLBANK,2.1,31-07-2026
Financial Services,100.0,SBICARD,1.77,31-07-2026
Financial Services,100.0,YESBANK,3.62,31-07-2026
