sector,sector_weight,symbol,weight,as_of_date
Healthcare,13.39,ABBOTINDIA,1.55,31-07-2026
Healthcare,13.39,ALKEM,3.6,31-07-2026
Healthcare,13.39,FORTIS,5.26,31-07-2026
Healthcare,13.39,MANKIND,2.99,31-07-2026
Consumer Durables,19.49,BLUESTARCO,2.33,31-07-2026
Consumer Durables,19.49,CROMPTON,1.79,31-07-2026
Consumer Durables,19.49,DIXON,6.23,31-07-2026
Consumer Durables,19.49,HAVELLS,3.39,31-07-2026
Consumer Durables,19.49,KALYANKJIL,2.51,31-07-2026
Consumer Durables,19.49,VOLTAS,3.24,31-07-2026
Fast Moving Consumer Goods,15.45,COLPAL,2.92,31-07-2026
Fast Moving Consumer Goods,15.45,DABUR,2.66,31-07-2026
Fast Moving Consumer Goods,15.45,MARICO,4.92,31-07-2026
Fast Moving Consumer Goods,15.45,PATANJALI,1.31,31-07-2026
Fast Moving Consumer Goods,15.45,RADICO,3.63,31-07-2026
Realty,12.03,GODREJPROP,3.04,31-07-2026
Realty,12.03,OBEROIRLTY,2.3,31-07-2026
Realty,12.03,PHOENIXLTD,3.78,31-07-2026
Realty,12.03,PRESTIGE,2.91,31-07-2026
Automobile and Auto Components,7.47,HEROMOTOCO,7.47,31-07-2026
Telecommunication,3.83,IDEA,3.83,31-07-2026
Consumer Services,22.75,IRCTC,1.58,31-07-2026
Consumer Services,22.75,ITCHOTELS,1.94,31-07-2026
Consumer Services,22.75,JUBLFOOD,1.83,31-07-2026
Consumer Services,22.75,NAUKRI,5.02,31-07-2026
Consumer Services,22.75,NYKAA,4.87,31-07-2026
Consumer Services,22.75,SWIGGY,4.32,31-07-2026
Consumer Services,22.75,VMM,3.19,31-07-2026
Textiles,2.72,PAGEIND,2.72,31-07-2026
Power,2.87,TORNTPOWER,2.87,31-07-2026
