sector,sector_weight,symbol,weight,as_of_date
Information Technology,66.63,AFFLE,2.41,31-07-2026
Information Technology,66.63,COFORGE,14.4,31-07-2026
Information Technology,66.63,CYIENT,1.73,31-07-2026
Information Technology,66.63,HEXT,2.0,31-07-2026
Information Technology,66.63,INTELLECT,1.56,31-07-2026
Information Technology,66.63,KPITTECH,2.36,31-07-2026
Information Technology,66.63,LTTS,2.36,31-07-2026
Information Technology,66.63,MPHASIS,7.46,31-07-2026
Information Technology,66.63,OFSS,6.41,31-07-2026
Information Technology,66.63,PERSISTENT,14.5,31-07-2026
Information Technology,66.63,SAGILITY,2.4,31-07-2026
Information Technology,66.63,SONATSOFTW,1.51,31-07-2026
Information Technology,66.63,TATAELXSI,3.04,31-07-2026
Information Technology,66.63,TATATECH,3.09,31-07-2026
Information Technology,66.63,ZENSARTECH,1.39,31-07-2026
Telecommunication,33.37,BHARTIHEXA,2.91,31-07-2026
Telecommunication,33.37,HFCL,4.78,31-07-2026
Telecommunication,33.37,IDEA,8.61,31-07-2026
Telecommunication,33.37,INDUSTOWER,12.12,31-07-2026
Telecommunication,33.37,TATACOMM,4.96,31-07-2026
