sector,sector_weight,symbol,weight,as_of_date
Realty,4.85,ABREL,0.35,31-07-2026
Realty,4.85,BRIGADE,0.51,31-07-2026
Realty,4.85,GODREJPROP,1.01,31-07-2026
Realty,4.85,OBEROIRLTY,0.76,31-07-2026
Realty,4.85,PHOENIXLTD,1.25,31-07-2026
Realty,4.85,PRESTIGE,0.96,31-07-2026
Services,8.08,ADANIPORTS,2.17,31-07-2026
Services,8.08,CONCOR,0.64,31-07-2026
Services,8.08,DELHIVERY,1.28,31-07-2026
Services,8.08,GESHIP,0.64,31-07-2026
Services,8.08,GMRAIRPORT,1.32,31-07-2026
Services,8.08,INDIGO,2.03,31-07-2026
Oil Gas & Consumable Fuels,17.71,AEGISLOG,0.76,31-07-2026
Oil Gas & Consumable Fuels,17.71,BPCL,1.12,31-07-2026
Oil Gas & Consumable Fuels,17.71,CASTROLIND,0.42,31-07-2026
Oil Gas & Consumable Fuels,17.71,HINDPETRO,1.32,31-07-2026
Oil Gas & Consumable Fuels,17.71,IGL,0.51,31-07-2026
Oil Gas & Consumable Fuels,17.71,MGL,0.3,31-07-2026
Oil Gas & Consumable Fuels,17.71,OIL,0.88,31-07-2026
Oil Gas & Consumable Fuels,17.71,ONGC,1.63,31-07-2026
Oil Gas & Consumable Fuels,17.71,PETRONET,0.74,31-07-2026
Oil Gas & Consumable Fuels,17.71,RELIANCE,10.01,31-07-2026
Healthcare,7.4,APOLLOHOSP,1.6,31-07-2026
Healthcare,7.4,ASTERDM,0.99,31-07-2026
Healthcare,7.4,FORTIS,1.74,31-07-2026
Healthcare,7.4,KIMS,0.99,31-07-2026
Healthcare,7.4,MAXHEALTH,1.42,31-07-2026
Healthcare,7.4,NH,0.67,31-07-2026
Automobile and Auto Components,8.96,ARE&M,0.53,31-07-2026
Automobile and Auto Components,8.96,ASAHIINDIA,0.5,31-07-2026
Automobile and Auto Components,8.96,BHARATFORG,2.07,31-07-2026
Automobile and Auto Components,8.96,CRAFTSMAN,0.68,31-07-2026
Automobile and Auto Components,8.96,EXIDEIND,0.72,31-07-2026
Automobile and Auto Components,8.96,MSUMI,0.49,31-07-2026
Automobile and Auto Components,8.96,SONACOMS,1.64,31-07-2026
Automobile and Auto Components,8.96,TIINDIA,1.04,31-07-2026
Automobile and Auto Components,8.96,UNOMINDA,0.76,31-07-2026
Automobile and Auto Components,8.96,ZFCVINDIA,0.52,31-07-2026
Capital Goods,10.62,ASHOKLEY,1.68,31-07-2026
Capital Goods,10.62,BEML,0.32,31-07-2026
Capital Goods,10.62,BHEL,2.1,31-07-2026
Capital Goods,10.62,ELGIEQUIP,0.58,31-07-2026
Capital Goods,10.62,INOXWIND,0.36,31-07-2026
Capital Goods,10.62,JYOTICNC,0.33,31-07-2026
Capital Goods,10.62,KAYNES,0.57,31-07-2026
Capital Goods,10.62,KIRLOSENG,0.87,31-07-2026
Capital Goods,10.62,POWERINDIA,1.45,31-07-2026
Capital Goods,10.62,SUZLON,2.07,31-07-2026
Capital Goods,10.62,TITAGARH,0.31,31-07-2026
Telecommunication,14.38,BHARTIARTL,10.39,31-07-2026
Telecommunication,14.38,HFCL,0.94,31-07-2026
Telecommunication,14.38,IDEA,1.27,31-07-2026
Telecommunication,14.38,INDUSTOWER,1.78,31-07-2026
Power,10.62,CESC,0.5,31-07-2026
Power,10.62,JPPOWER,0.42,31-07-2026
Power,10.62,JSWENERGY,1.2,31-07-2026
Power,10.62,NHPC,1.05,31-07-2026
Power,10.62,NTPC,2.85,31-07-2026
Power,10.62,POWERGRID,2.23,31-07-2026
Power,10.62,RPOWER,0.32,31-07-2026
Power,10.62,TATAPOWER,1.1,31-07-2026
Power,10.62,TORNTPOWER,0.95,31-07-2026
Construction Materials,5.52,DALBHARAT,0.51,31-07-2026
Construction Materials,5.52,GRASIM,2.03,31-07-2026
Construction Materials,5.52,RAMCOCEM,0.55,31-07-2026
Construction Materials,5.52,ULTRACEMCO,2.44,31-07-2026
Consumer Services,1.69,EIHOTEL,0.31,31-07-2026
Consumer Services,1.69,INDHOTEL,1.12,31-07-2026
Consumer Services,1.69,LEMONTREE,0.26,31-07-2026
Construction,10.16,KEC,0.29,31-07-2026
Construction,10.16,KPIL,0.7,31-07-2026
Construction,10.16,LT,7.99,31-07-2026
Construction,10.16,NBCC,0.47,31-07-2026
Construction,10.16,NCC,0.27,31-07-2026
Construction,10.16,RVNL,0.45,31-07-2026
