sector,sector_weight,symbol,weight,as_of_date
Financial Services,100.0,AIIL,2.31,31-07-2026
Financial Services,100.0,BAJFINANCE,21.62,31-07-2026
Financial Services,100.0,CGCL,1.45,31-07-2026
Financial Services,100.0,CHOLAFIN,12.94,31-07-2026
Financial Services,100.0,FEDFINA,0.3,31-07-2026
Financial Services,100.0,FIVESTAR,1.72,31-07-2026
Financial Services,100.0,HDBFS,2.35,31-07-2026
Financial Services,100.0,IIFL,2.29,31-07-2026
Financial Services,100.0,LTF,4.29,31-07-2026
Financial Services,100.0,M&MFIN,4.13,31-07-2026
Financial Services,100.0,MANAPPURAM,3.3,31-07-2026
Financial Services,100.0,MUTHOOTFIN,5.41,31-07-2026
Financial Services,100.0,PIRAMALFIN,4.0,31-07-2026
Financial Services,100.0,POONAWALLA,2.67,31-07-2026
Financial Services,100.0,SBFC,0.6,31-07-2026
Financial Services,100.0,SBICARD,3.17,31-07-2026
Financial Services,100.0,SHRIRAMFIN,19.29,31-07-2026
Financial Services,100.0,SUNDARMFIN,5.2,31-07-2026
Financial Services,100.0,TATACAP,2.97,31-07-2026
