sector,sector_weight,symbol,weight,as_of_date
Consumer Durables,18.63,ASIANPAINT,5.19,31-07-2026
Consumer Durables,18.63,DIXON,2.44,31-07-2026
Consumer Durables,18.63,HAVELLS,1.33,31-07-2026
Consumer Durables,18.63,TITAN,8.41,31-07-2026
Consumer Durables,18.63,VOLTAS,1.27,31-07-2026
Telecommunication,11.03,BHARTIARTL,10.16,31-07-2026
Telecommunication,11.03,TATACOMM,0.86,31-07-2026
Fast Moving Consumer Goods,37.59,BRITANNIA,2.67,31-07-2026
Fast Moving Consumer Goods,37.59,COLPAL,1.14,31-07-2026
Fast Moving Consumer Goods,37.59,DABUR,1.04,31-07-2026
Fast Moving Consumer Goods,37.59,GODREJCP,1.8,31-07-2026
Fast Moving Consumer Goods,37.59,HINDUNILVR,7.79,31-07-2026
Fast Moving Consumer Goods,37.59,ITC,9.36,31-07-2026
Fast Moving Consumer Goods,37.59,MARICO,1.93,31-07-2026
Fast Moving Consumer Goods,37.59,NESTLEIND,4.52,31-07-2026
Fast Moving Consumer Goods,37.59,TATACONSUM,2.95,31-07-2026
Fast Moving Consumer Goods,37.59,UNITDSPR,1.87,31-07-2026
Fast Moving Consumer Goods,37.59,VBL,2.53,31-07-2026
Consumer Services,26.8,DMART,2.64,31-07-2026
Consumer Services,26.8,ETERNAL,9.14,31-07-2026
Consumer Services,26.8,INDHOTEL,2.71,31-07-2026
Consumer Services,26.8,IRCTC,0.62,31-07-2026
Consumer Services,26.8,JUBLFOOD,0.72,31-07-2026
Consumer Services,26.8,NAUKRI,1.96,31-07-2026
Consumer Services,26.8,NYKAA,1.91,31-07-2026
Consumer Services,26.8,SWIGGY,1.69,31-07-2026
Consumer Services,26.8,TRENT,4.18,31-07-2026
Consumer Services,26.8,VMM,1.25,31-07-2026
Services,4.89,INDIGO,4.89,31-07-2026
Textiles,1.06,PAGEIND,1.06,31-07-2026
