sector,sector_weight,symbol,weight,as_of_date
Oil Gas & Consumable Fuels,100.0,AEGISLOG,2.61,31-07-2026
Oil Gas & Consumable Fuels,100.0,AEGISVOPAK,0.68,31-07-2026
Oil Gas & Consumable Fuels,100.0,ATGL,2.93,31-07-2026
Oil Gas & Consumable Fuels,100.0,BPCL,10.51,31-07-2026
Oil Gas & Consumable Fuels,100.0,CASTROLIND,1.44,31-07-2026
Oil Gas & Consumable Fuels,100.0,CHENNPETRO,0.98,31-07-2026
Oil Gas & Consumable Fuels,100.0,GAIL,7.94,31-07-2026
Oil Gas & Consumable Fuels,100.0,HINDPETRO,6.07,31-07-2026
Oil Gas & Consumable Fuels,100.0,IGL,1.73,31-07-2026
Oil Gas & Consumable Fuels,100.0,IOC,8.5,31-07-2026
Oil Gas & Consumable Fuels,100.0,MGL,1.04,31-07-2026
Oil Gas & Consumable Fuels,100.0,OIL,4.06,31-07-2026
Oil Gas & Consumable Fuels,100.0,ONGC,15.28,31-07-2026
Oil Gas & Consumable Fuels,100.0,PETRONET,3.41,31-07-2026
Oil Gas & Consumable Fuels,100.0,RELIANCE,32.83,31-07-2026
