sector,sector_weight,symbol,weight,as_of_date
Healthcare,100.0,ABBOTINDIA,1.47,31-07-2026
Healthcare,100.0,AJANTPHARM,1.48,31-07-2026
Healthcare,100.0,ALKEM,3.41,31-07-2026
Healthcare,100.0,AUROPHARMA,4.43,31-07-2026
Healthcare,100.0,BIOCON,3.07,31-07-2026
Healthcare,100.0,CIPLA,8.39,31-07-2026
Healthcare,100.0,DIVISLAB,10.36,31-07-2026
Healthcare,100.0,DRREDDY,7.08,31-07-2026
Healthcare,100.0,GLAND,2.02,31-07-2026
Healthcare,100.0,GLENMARK,3.4,31-07-2026
Healthcare,100.0,IPCALAB,2.46,31-07-2026
Healthcare,100.0,LAURUSLABS,7.15,31-07-2026
Healthcare,100.0,LUPIN,5.94,31-07-2026
Healthcare,100.0,MANKIND,2.83,31-07-2026
Healthcare,100.0,PPLPHARMA,1.23,31-07-2026
Healthcare,100.0,SAILIFE,1.84,31-07-2026
Healthcare,100.0,SUNPHARMA,21.34,31-07-2026
Healthcare,100.0,TORNTPHARM,7.61,31-07-2026
Healthcare,100.0,WOCKPHARMA,1.64,31-07-2026
Healthcare,100.0,ZYDUSLIFE,2.85,31-07-2026
