sector,sector_weight,symbol,weight,as_of_date
Power,100.0,ACMESOLAR,1.06,31-07-2026
Power,100.0,ADANIENSOL,7.86,31-07-2026
Power,100.0,ADANIGREEN,6.75,31-07-2026
Power,100.0,ADANIPOWER,12.76,31-07-2026
Power,100.0,CESC,1.52,31-07-2026
Power,100.0,GMRP&UI,0.42,31-07-2026
Power,100.0,JPPOWER,1.3,31-07-2026
Power,100.0,JSWENERGY,4.95,31-07-2026
Power,100.0,KPIGREEN,0.53,31-07-2026
Power,100.0,NAVA,1.12,31-07-2026
Power,100.0,NHPC,4.32,31-07-2026
Power,100.0,NLCINDIA,1.58,31-07-2026
Power,100.0,NTPC,20.08,31-07-2026
Power,100.0,NTPCGREEN,1.22,31-07-2026
Power,100.0,POWERGRID,18.73,31-07-2026
Power,100.0,PTC,0.61,31-07-2026
Power,100.0,RPOWER,0.99,31-07-2026
Power,100.0,RTNPOWER,0.34,31-07-2026
Power,100.0,SJVN,0.71,31-07-2026
Power,100.0,TATAPOWER,9.24,31-07-2026
Power,100.0,TORNTPOWER,3.91,31-07-2026
