sector,sector_weight,symbol,weight,as_of_date
Capital Goods,23.23,BEL,11.27,31-07-2026
Capital Goods,23.23,BHEL,4.81,31-07-2026
Capital Goods,23.23,HAL,7.15,31-07-2026
Oil Gas & Consumable Fuels,34.23,BPCL,5.26,31-07-2026
Oil Gas & Consumable Fuels,34.23,COALINDIA,8.05,31-07-2026
Oil Gas & Consumable Fuels,34.23,GAIL,3.97,31-07-2026
Oil Gas & Consumable Fuels,34.23,HINDPETRO,3.04,31-07-2026
Oil Gas & Consumable Fuels,34.23,IOC,4.25,31-07-2026
Oil Gas & Consumable Fuels,34.23,OIL,2.03,31-07-2026
Oil Gas & Consumable Fuels,34.23,ONGC,7.64,31-07-2026
Services,1.47,CONCOR,1.47,31-07-2026
Consumer Services,1.2,IRCTC,1.2,31-07-2026
Financial Services,10.25,IRFC,1.45,31-07-2026
Financial Services,10.25,PFC,5.01,31-07-2026
Financial Services,10.25,RECLTD,3.78,31-07-2026
Power,26.2,NHPC,2.41,31-07-2026
Power,26.2,NTPC,13.35,31-07-2026
Power,26.2,POWERGRID,10.44,31-07-2026
Metals & Mining,2.38,NMDC,2.38,31-07-2026
Construction,1.04,RVNL,1.04,31-07-2026
