sector,sector_weight,symbol,weight,as_of_date
Financial Services,100.0,BANKBARODA,12.63,31-07-2026
Financial Services,100.0,BANKINDIA,4.7,31-07-2026
Financial Services,100.0,CANBK,11.79,31-07-2026
Financial Services,100.0,CENTRALBK,1.48,31-07-2026
Financial Services,100.0,INDIANB,8.3,31-07-2026
Financial Services,100.0,IOB,1.39,31-07-2026
Financial Services,100.0,MAHABANK,4.53,31-07-2026
Financial Services,100.0,PNB,10.89,31-07-2026
Financial Services,100.0,PSB,0.28,31-07-2026
Financial Services,100.0,SBIN,33.87,31-07-2026
Financial Services,100.0,UCOBANK,0.84,31-07-2026
Financial Services,100.0,UNIONBANK,9.29,31-07-2026
