sector,sector_weight,symbol,weight,as_of_date
Financial Services,100.0,AXISBANK,18.28,31-07-2026
Financial Services,100.0,BANDHANBNK,1.09,31-07-2026
Financial Services,100.0,FEDERALBNK,6.05,31-07-2026
Financial Services,100.0,HDFCBANK,20.03,31-07-2026
Financial Services,100.0,ICICIBANK,22.19,31-07-2026
Financial Services,100.0,IDFCFIRSTB,3.84,31-07-2026
Financial Services,100.0,INDUSINDBK,4.56,31-07-2026
Financial Services,100.0,KOTAKBANK,19.65,31-07-2026
Financial Services,100.0,RBLBANK,1.59,31-07-2026
Financial Services,100.0,YESBANK,2.73,31-07-2026
