sector,sector_weight,symbol,weight,as_of_date
Healthcare,26.74,ALKEM,3.01,31-07-2026
Healthcare,26.74,CIPLA,3.51,31-07-2026
Healthcare,26.74,DIVISLAB,3.7,31-07-2026
Healthcare,26.74,DRREDDY,2.36,31-07-2026
Healthcare,26.74,LUPIN,3.51,31-07-2026
Healthcare,26.74,SUNPHARMA,4.03,31-07-2026
Healthcare,26.74,TORNTPHARM,4.08,31-07-2026
Healthcare,26.74,ZYDUSLIFE,2.52,31-07-2026
Consumer Durables,5.53,ASIANPAINT,2.68,31-07-2026
Consumer Durables,5.53,HAVELLS,2.85,31-07-2026
Automobile and Auto Components,11.36,BAJAJ-AUTO,3.73,31-07-2026
Automobile and Auto Components,11.36,EICHERMOT,2.32,31-07-2026
Automobile and Auto Components,11.36,HEROMOTOCO,2.37,31-07-2026
Automobile and Auto Components,11.36,MARUTI,2.94,31-07-2026
Fast Moving Consumer Goods,29.03,BRITANNIA,4.39,31-07-2026
Fast Moving Consumer Goods,29.03,COLPAL,2.45,31-07-2026
Fast Moving Consumer Goods,29.03,DABUR,2.23,31-07-2026
Fast Moving Consumer Goods,29.03,HINDUNILVR,3.75,31-07-2026
Fast Moving Consumer Goods,29.03,ITC,4.0,31-07-2026
Fast Moving Consumer Goods,29.03,MARICO,4.13,31-07-2026
Fast Moving Consumer Goods,29.03,NESTLEIND,5.21,31-07-2026
Fast Moving Consumer Goods,29.03,UNITDSPR,2.88,31-07-2026
Oil Gas & Consumable Fuels,3.14,COALINDIA,3.14,31-07-2026
Information Technology,9.66,HCLTECH,2.87,31-07-2026
Information Technology,9.66,INFY,2.58,31-07-2026
Information Technology,9.66,TCS,4.21,31-07-2026
Financial Services,10.71,HDFCBANK,3.44,31-07-2026
Financial Services,10.71,ICICIBANK,4.41,31-07-2026
Financial Services,10.71,KOTAKBANK,2.87,31-07-2026
Chemicals,3.83,PIDILITIND,3.83,31-07-2026
