sector,sector_weight,symbol,weight,as_of_date
Construction,2.63,ANANTAM,0.96,31-07-2026
Construction,2.63,CAPINVIT,1.66,31-07-2026
Realty,69.32,BIRET,15.42,31-07-2026
Realty,69.32,EMBASSY,25.84,31-07-2026
Realty,69.32,KRT,7.6,31-07-2026
Realty,69.32,MINDSPACE,7.2,31-07-2026
Realty,69.32,NXST,13.26,31-07-2026
Services,11.5,CITIUSINVT,1.56,31-07-2026
Services,11.5,INDUSINVIT,2.25,31-07-2026
Services,11.5,IRBINVIT,4.46,31-07-2026
Services,11.5,RIIT,3.22,31-07-2026
Power,16.56,INDIGRID,11.37,31-07-2026
Power,16.56,PGINVIT,5.19,31-07-2026
