sector,sector_weight,symbol,weight,as_of_date
Construction,0.85,ANANTAM,0.31,31-07-2026
Construction,0.85,CAPINVIT,0.54,31-07-2026
Realty,90.04,BIRET,17.92,31-07-2026
Realty,90.04,EMBASSY,28.52,31-07-2026
Realty,90.04,KRT,14.48,31-07-2026
Realty,90.04,MINDSPACE,13.71,31-07-2026
Realty,90.04,NXST,15.41,31-07-2026
Services,3.73,CITIUSINVT,0.51,31-07-2026
Services,3.73,INDUSINVIT,0.73,31-07-2026
Services,3.73,IRBINVIT,1.45,31-07-2026
Services,3.73,RIIT,1.05,31-07-2026
Power,5.38,INDIGRID,3.69,31-07-2026
Power,5.38,PGINVIT,1.69,31-07-2026
