sector,sector_weight,symbol,weight,as_of_date
Realty,100.0,ABREL,1.37,31-07-2026
Realty,100.0,ANANTRAJ,1.76,31-07-2026
Realty,100.0,BIRET,15.75,31-07-2026
Realty,100.0,BRIGADE,1.98,31-07-2026
Realty,100.0,DLF,7.8,31-07-2026
Realty,100.0,EMBASSY,14.42,31-07-2026
Realty,100.0,GODREJPROP,5.25,31-07-2026
Realty,100.0,KRT,7.76,31-07-2026
Realty,100.0,LODHA,6.37,31-07-2026
Realty,100.0,MINDSPACE,7.35,31-07-2026
Realty,100.0,NXST,13.54,31-07-2026
Realty,100.0,OBEROIRLTY,3.97,31-07-2026
Realty,100.0,PHOENIXLTD,6.52,31-07-2026
Realty,100.0,PRESTIGE,5.03,31-07-2026
Realty,100.0,SOBHA,1.13,31-07-2026
