sector,sector_weight,symbol,weight,as_of_date
Consumer Services,100.0,ABFRL,0.66,31-07-2026
Consumer Services,100.0,ABLBL,1.02,31-07-2026
Consumer Services,100.0,ARVINDFASN,0.72,31-07-2026
Consumer Services,100.0,AVL,0.81,31-07-2026
Consumer Services,100.0,CARTRADE,2.13,31-07-2026
Consumer Services,100.0,CRIZAC,0.13,31-07-2026
Consumer Services,100.0,DMART,11.69,31-07-2026
Consumer Services,100.0,EMIL,0.32,31-07-2026
Consumer Services,100.0,ENTERO,0.37,31-07-2026
Consumer Services,100.0,ETERNAL,22.8,31-07-2026
Consumer Services,100.0,FIRSTCRY,0.89,31-07-2026
Consumer Services,100.0,INDIAMART,1.02,31-07-2026
Consumer Services,100.0,JUSTDIAL,0.29,31-07-2026
Consumer Services,100.0,LENSKART,3.48,31-07-2026
Consumer Services,100.0,MANYAVAR,0.47,31-07-2026
Consumer Services,100.0,MEDPLUS,0.94,31-07-2026
Consumer Services,100.0,MEESHO,1.88,31-07-2026
Consumer Services,100.0,NAUKRI,8.69,31-07-2026
Consumer Services,100.0,NYKAA,8.44,31-07-2026
Consumer Services,100.0,RTNINDIA,0.2,31-07-2026
Consumer Services,100.0,SWIGGY,7.48,31-07-2026
Consumer Services,100.0,TRENT,17.89,31-07-2026
Consumer Services,100.0,URBANCO,0.81,31-07-2026
Consumer Services,100.0,V2RETAIL,0.71,31-07-2026
Consumer Services,100.0,VMART,0.64,31-07-2026
Consumer Services,100.0,VMM,5.52,31-07-2026
