sector,sector_weight,symbol,weight,as_of_date
Construction Materials,7.0,ACC,0.16,31-07-2026
Construction Materials,7.0,AMBUJACEM,0.52,31-07-2026
Construction Materials,7.0,DALBHARAT,0.27,31-07-2026
Construction Materials,7.0,GRASIM,2.24,31-07-2026
Construction Materials,7.0,JKCEMENT,0.44,31-07-2026
Construction Materials,7.0,SHREECEM,0.67,31-07-2026
Construction Materials,7.0,ULTRACEMCO,2.7,31-07-2026
Power,8.68,ADANIGREEN,0.89,31-07-2026
Power,8.68,ADANIPOWER,1.68,31-07-2026
Power,8.68,JSWENERGY,0.65,31-07-2026
Power,8.68,NHPC,0.57,31-07-2026
Power,8.68,NTPC,3.16,31-07-2026
Power,8.68,TATAPOWER,1.22,31-07-2026
Power,8.68,TORNTPOWER,0.52,31-07-2026
Capital Goods,5.06,ASHOKLEY,0.91,31-07-2026
Capital Goods,5.06,ASTRAL,0.34,31-07-2026
Capital Goods,5.06,CUMMINSIND,1.43,31-07-2026
Capital Goods,5.06,ESCORTS,0.2,31-07-2026
Capital Goods,5.06,SUPREMEIND,0.43,31-07-2026
Capital Goods,5.06,TMCV,1.75,31-07-2026
Consumer Durables,5.72,ASIANPAINT,2.38,31-07-2026
Consumer Durables,5.72,BERGEPAINT,0.28,31-07-2026
Consumer Durables,5.72,BLUESTARCO,0.42,31-07-2026
Consumer Durables,5.72,CROMPTON,0.32,31-07-2026
Consumer Durables,5.72,DIXON,1.12,31-07-2026
Consumer Durables,5.72,HAVELLS,0.61,31-07-2026
Consumer Durables,5.72,VOLTAS,0.58,31-07-2026
Automobile and Auto Components,19.14,BAJAJ-AUTO,2.45,31-07-2026
Automobile and Auto Components,19.14,EICHERMOT,2.07,31-07-2026
Automobile and Auto Components,19.14,HEROMOTOCO,1.34,31-07-2026
Automobile and Auto Components,19.14,HYUNDAI,0.6,31-07-2026
Automobile and Auto Components,19.14,M&M,5.82,31-07-2026
Automobile and Auto Components,19.14,MARUTI,3.56,31-07-2026
Automobile and Auto Components,19.14,TMPV,1.36,31-07-2026
Automobile and Auto Components,19.14,TVSMOTOR,1.94,31-07-2026
Financial Services,24.9,BAJFINANCE,4.95,31-07-2026
Financial Services,24.9,BANDHANBNK,0.26,31-07-2026
Financial Services,24.9,BANKBARODA,0.73,31-07-2026
Financial Services,24.9,BANKINDIA,0.27,31-07-2026
Financial Services,24.9,CHOLAFIN,1.29,31-07-2026
Financial Services,24.9,HDFCLIFE,0.95,31-07-2026
Financial Services,24.9,ICICIPRULI,0.33,31-07-2026
Financial Services,24.9,INDIANB,0.48,31-07-2026
Financial Services,24.9,LICHSGFIN,0.25,31-07-2026
Financial Services,24.9,LICI,0.3,31-07-2026
Financial Services,24.9,LTF,0.43,31-07-2026
Financial Services,24.9,M&MFIN,0.41,31-07-2026
Financial Services,24.9,MFSL,0.64,31-07-2026
Financial Services,24.9,MUTHOOTFIN,0.54,31-07-2026
Financial Services,24.9,PIRAMALFIN,0.4,31-07-2026
Financial Services,24.9,PNB,0.63,31-07-2026
Financial Services,24.9,PNBHOUSING,0.32,31-07-2026
Financial Services,24.9,POONAWALLA,0.27,31-07-2026
Financial Services,24.9,SBICARD,0.32,31-07-2026
Financial Services,24.9,SBILIFE,1.37,31-07-2026
Financial Services,24.9,SBIN,6.87,31-07-2026
Financial Services,24.9,SHRIRAMFIN,2.37,31-07-2026
Financial Services,24.9,SUNDARMFIN,0.52,31-07-2026
Telecommunication,11.29,BHARTIARTL,10.2,31-07-2026
Telecommunication,11.29,IDEA,0.69,31-07-2026
Telecommunication,11.29,TATACOMM,0.4,31-07-2026
Fast Moving Consumer Goods,16.37,BRITANNIA,1.22,31-07-2026
Fast Moving Consumer Goods,16.37,COLPAL,0.52,31-07-2026
Fast Moving Consumer Goods,16.37,DABUR,0.48,31-07-2026
Fast Moving Consumer Goods,16.37,GODREJCP,0.83,31-07-2026
Fast Moving Consumer Goods,16.37,HINDUNILVR,3.58,31-07-2026
Fast Moving Consumer Goods,16.37,ITC,5.2,31-07-2026
Fast Moving Consumer Goods,16.37,MARICO,0.88,31-07-2026
Fast Moving Consumer Goods,16.37,NESTLEIND,2.08,31-07-2026
Fast Moving Consumer Goods,16.37,PATANJALI,0.24,31-07-2026
Fast Moving Consumer Goods,16.37,TATACONSUM,1.35,31-07-2026
Chemicals,1.55,COROMANDEL,0.48,31-07-2026
Chemicals,1.55,PIIND,0.43,31-07-2026
Chemicals,1.55,UPL,0.65,31-07-2026
Consumer Services,0.28,IRCTC,0.28,31-07-2026
