sector,sector_weight,symbol,weight,as_of_date
Consumer Durables,10.17,ASIANPAINT,5.9,31-07-2026
Consumer Durables,10.17,DIXON,2.77,31-07-2026
Consumer Durables,10.17,HAVELLS,1.51,31-07-2026
Capital Goods,6.35,CGPOWER,2.81,31-07-2026
Capital Goods,6.35,CUMMINSIND,3.54,31-07-2026
Healthcare,10.04,CIPLA,3.93,31-07-2026
Healthcare,10.04,DRREDDY,3.32,31-07-2026
Healthcare,10.04,LUPIN,2.78,31-07-2026
Information Technology,29.95,COFORGE,2.84,31-07-2026
Information Technology,29.95,HCLTECH,6.74,31-07-2026
Information Technology,29.95,LTM,1.92,31-07-2026
Information Technology,29.95,PERSISTENT,2.86,31-07-2026
Information Technology,29.95,TCS,10.61,31-07-2026
Information Technology,29.95,TECHM,4.98,31-07-2026
Oil Gas & Consumable Fuels,6.79,GAIL,2.32,31-07-2026
Oil Gas & Consumable Fuels,6.79,ONGC,4.47,31-07-2026
Fast Moving Consumer Goods,19.37,GODREJCP,2.04,31-07-2026
Fast Moving Consumer Goods,19.37,HINDUNILVR,8.85,31-07-2026
Fast Moving Consumer Goods,19.37,NESTLEIND,5.14,31-07-2026
Fast Moving Consumer Goods,19.37,TATACONSUM,3.35,31-07-2026
Automobile and Auto Components,6.48,HEROMOTOCO,3.32,31-07-2026
Automobile and Auto Components,6.48,MOTHERSON,3.16,31-07-2026
Chemicals,4.18,PIDILITIND,2.37,31-07-2026
Chemicals,4.18,SRF,1.81,31-07-2026
Construction Materials,6.68,ULTRACEMCO,6.68,31-07-2026
