sector,sector_weight,symbol,weight,as_of_date
Financial Services,22.67,AADHARHFC,0.25,31-07-2026
Financial Services,22.67,AAVAS,0.25,31-07-2026
Financial Services,22.67,ABSLAMC,0.34,31-07-2026
Financial Services,22.67,ANANDRATHI,0.86,31-07-2026
Financial Services,22.67,ANGELONE,0.9,31-07-2026
Financial Services,22.67,APTUS,0.43,31-07-2026
Financial Services,22.67,BANDHANBNK,0.74,31-07-2026
Financial Services,22.67,CAMS,0.89,31-07-2026
Financial Services,22.67,CANFINHOME,0.32,31-07-2026
Financial Services,22.67,CANHLIFE,0.16,31-07-2026
Financial Services,22.67,CDSL,1.1,31-07-2026
Financial Services,22.67,CENTRALBK,0.25,31-07-2026
Financial Services,22.67,CGCL,0.42,31-07-2026
Financial Services,22.67,CHOICEIN,0.33,31-07-2026
Financial Services,22.67,CHOLAHLDNG,0.71,31-07-2026
Financial Services,22.67,CREDITACC,0.4,31-07-2026
Financial Services,22.67,CUB,0.92,31-07-2026
Financial Services,22.67,FIVESTAR,0.49,31-07-2026
Financial Services,22.67,GODIGIT,0.28,31-07-2026
Financial Services,22.67,HOMEFIRST,0.53,31-07-2026
Financial Services,22.67,IDBI,0.22,31-07-2026
Financial Services,22.67,IEX,0.49,31-07-2026
Financial Services,22.67,IFCI,0.24,31-07-2026
Financial Services,22.67,IIFL,0.66,31-07-2026
Financial Services,22.67,IOB,0.23,31-07-2026
Financial Services,22.67,J&KBANK,0.32,31-07-2026
Financial Services,22.67,JMFINANCIL,0.22,31-07-2026
Financial Services,22.67,KARURVYSYA,1.5,31-07-2026
Financial Services,22.67,KFINTECH,0.58,31-07-2026
Financial Services,22.67,MANAPPURAM,0.95,31-07-2026
Financial Services,22.67,NIVABUPA,0.25,31-07-2026
Financial Services,22.67,NUVAMA,0.65,31-07-2026
Financial Services,22.67,PINELABS,0.14,31-07-2026
Financial Services,22.67,PIRAMALFIN,1.15,31-07-2026
Financial Services,22.67,PNBHOUSING,0.92,31-07-2026
Financial Services,22.67,POONAWALLA,0.77,31-07-2026
Financial Services,22.67,RBLBANK,1.08,31-07-2026
Financial Services,22.67,SAMMAANCAP,0.58,31-07-2026
Financial Services,22.67,SBFC,0.17,31-07-2026
