sector,sector_weight,symbol,weight,as_of_date
Financial Services,100.0,AUBANK,13.52,31-07-2026
Financial Services,100.0,CREDITACC,15.03,31-07-2026
Financial Services,100.0,EQUITASBNK,13.45,31-07-2026
Financial Services,100.0,FUSION,6.76,31-07-2026
Financial Services,100.0,JSFB,15.61,31-07-2026
Financial Services,100.0,MUTHOOTMF,3.7,31-07-2026
Financial Services,100.0,SPANDANA,3.68,31-07-2026
Financial Services,100.0,SURYODAY,4.65,31-07-2026
Financial Services,100.0,UJJIVANSFB,17.28,31-07-2026
Financial Services,100.0,UTKARSHBNK,6.31,31-07-2026
