sector,sector_weight,symbol,weight,as_of_date
Chemicals,7.43,AARTIIND,0.86,31-07-2026
Chemicals,7.43,CHAMBLFERT,0.56,31-07-2026
Chemicals,7.43,DEEPAKFERT,0.89,31-07-2026
Chemicals,7.43,HSCL,1.5,31-07-2026
Chemicals,7.43,NAVINFLUOR,2.37,31-07-2026
Chemicals,7.43,SWANCORP,0.37,31-07-2026
Chemicals,7.43,TATACHEM,0.9,31-07-2026
Realty,2.63,ABREL,0.63,31-07-2026
Realty,2.63,ANANTRAJ,0.81,31-07-2026
Realty,2.63,BRIGADE,0.92,31-07-2026
Realty,2.63,SIGNATURE,0.27,31-07-2026
Oil Gas & Consumable Fuels,3.29,AEGISLOG,1.37,31-07-2026
Oil Gas & Consumable Fuels,3.29,CASTROLIND,0.75,31-07-2026
Oil Gas & Consumable Fuels,3.29,IGL,0.91,31-07-2026
Oil Gas & Consumable Fuels,3.29,MRPL,0.25,31-07-2026
Construction,2.06,AFCONS,0.36,31-07-2026
Construction,2.06,IRCON,0.35,31-07-2026
Construction,2.06,KEC,0.52,31-07-2026
Construction,2.06,NBCC,0.84,31-07-2026
Information Technology,4.83,AFFLE,0.85,31-07-2026
Information Technology,4.83,IKS,0.81,31-07-2026
Information Technology,4.83,NETWEB,0.73,31-07-2026
Information Technology,4.83,SAGILITY,0.85,31-07-2026
Information Technology,4.83,TATATECH,1.09,31-07-2026
Information Technology,4.83,ZENSARTECH,0.49,31-07-2026
Consumer Durables,4.17,AMBER,1.38,31-07-2026
Consumer Durables,4.17,CROMPTON,1.42,31-07-2026
Consumer Durables,4.17,PGEL,0.84,31-07-2026
Consumer Durables,4.17,WHIRLPOOL,0.52,31-07-2026
Financial Services,32.22,ANANDRATHI,1.58,31-07-2026
Financial Services,32.22,ANGELONE,1.65,31-07-2026
Financial Services,32.22,APTUS,0.79,31-07-2026
Financial Services,32.22,BANDHANBNK,1.35,31-07-2026
Financial Services,32.22,CAMS,1.63,31-07-2026
Financial Services,32.22,CDSL,2.02,31-07-2026
Financial Services,32.22,CGCL,0.76,31-07-2026
Financial Services,32.22,CHOLAHLDNG,1.3,31-07-2026
Financial Services,32.22,CREDITACC,0.74,31-07-2026
Financial Services,32.22,CUB,1.69,31-07-2026
Financial Services,32.22,FIVESTAR,0.9,31-07-2026
Financial Services,32.22,IDBI,0.4,31-07-2026
Financial Services,32.22,IFCI,0.43,31-07-2026
Financial Services,32.22,IIFL,1.2,31-07-2026
