sector,sector_weight,symbol,weight,as_of_date
Fast Moving Consumer Goods,94.68,ASALCBR,1.85,31-07-2026
Fast Moving Consumer Goods,94.68,BAJAJHIND,5.21,31-07-2026
Fast Moving Consumer Goods,94.68,BALRAMCHIN,15.85,31-07-2026
Fast Moving Consumer Goods,94.68,BCLIND,1.48,31-07-2026
Fast Moving Consumer Goods,94.68,DALMIASUG,2.26,31-07-2026
Fast Moving Consumer Goods,94.68,DHAMPURSUG,1.49,31-07-2026
Fast Moving Consumer Goods,94.68,EIDPARRY,15.53,31-07-2026
Fast Moving Consumer Goods,94.68,GAEL,8.08,31-07-2026
Fast Moving Consumer Goods,94.68,GLOBUSSPR,4.35,31-07-2026
Fast Moving Consumer Goods,94.68,GODAVARIB,1.68,31-07-2026
Fast Moving Consumer Goods,94.68,INDIAGLYCO,8.81,31-07-2026
Fast Moving Consumer Goods,94.68,KRBL,9.25,31-07-2026
Fast Moving Consumer Goods,94.68,PICCADIL,6.39,31-07-2026
Fast Moving Consumer Goods,94.68,RENUKA,5.97,31-07-2026
Fast Moving Consumer Goods,94.68,TRIVENI,6.49,31-07-2026
Capital Goods,5.32,DUMMYTRVN,5.32,31-07-2026
