sector,sector_weight,symbol,weight,as_of_date
Consumer Services,15.11,INDHOTEL,5.94,31-07-2026
Consumer Services,15.11,TRENT,9.17,31-07-2026
Fast Moving Consumer Goods,6.46,TATACONSUM,6.46,31-07-2026
Power,5.82,TATAPOWER,5.82,31-07-2026
Metals & Mining,14.37,TATASTEEL,14.37,31-07-2026
Information Technology,22.14,TCS,22.14,31-07-2026
Consumer Durables,21.23,TITAN,18.45,31-07-2026
Consumer Durables,21.23,VOLTAS,2.78,31-07-2026
Capital Goods,8.36,TMCV,8.36,31-07-2026
Automobile and Auto Components,6.51,TMPV,6.51,31-07-2026
