sector,sector_weight,symbol,weight,as_of_date
Telecommunication,100.0,BHARTIARTL,24.6,31-07-2026
Telecommunication,100.0,BHARTIHEXA,5.45,31-07-2026
Telecommunication,100.0,HFCL,8.95,31-07-2026
Telecommunication,100.0,IDEA,15.85,31-07-2026
Telecommunication,100.0,INDUSTOWER,22.3,31-07-2026
Telecommunication,100.0,ITI,1.2,31-07-2026
Telecommunication,100.0,OPTIEMUS,0.67,31-07-2026
Telecommunication,100.0,RAILTEL,1.12,31-07-2026
Telecommunication,100.0,ROUTE,0.39,31-07-2026
Telecommunication,100.0,STLTECH,7.35,31-07-2026
Telecommunication,100.0,TATACOMM,9.3,31-07-2026
Telecommunication,100.0,TEJASNET,1.91,31-07-2026
Telecommunication,100.0,TTML,0.91,31-07-2026
