sector,sector_weight,symbol,weight,as_of_date
Financial Services,38.44,AXISBANK,8.89,31-07-2026
Financial Services,38.44,HDFCBANK,9.45,31-07-2026
Financial Services,38.44,ICICIBANK,10.47,31-07-2026
Financial Services,38.44,KOTAKBANK,9.63,31-07-2026
Telecommunication,10.52,BHARTIARTL,10.52,31-07-2026
Information Technology,21.95,INFY,10.71,31-07-2026
Information Technology,21.95,TCS,11.23,31-07-2026
Fast Moving Consumer Goods,9.69,ITC,9.69,31-07-2026
Construction,9.43,LT,9.43,31-07-2026
Oil Gas & Consumable Fuels,9.97,RELIANCE,9.97,31-07-2026
