sector,sector_weight,symbol,weight,as_of_date
Capital Goods,35.8,ABB,2.54,31-07-2026
Capital Goods,35.8,APARINDS,2.05,31-07-2026
Capital Goods,35.8,BEL,4.74,31-07-2026
Capital Goods,35.8,CGPOWER,4.66,31-07-2026
Capital Goods,35.8,CUMMINSIND,5.04,31-07-2026
Capital Goods,35.8,GPIL,0.29,31-07-2026
Capital Goods,35.8,GVT&D,4.71,31-07-2026
Capital Goods,35.8,HBLENGINE,0.38,31-07-2026
Capital Goods,35.8,KEI,1.94,31-07-2026
Capital Goods,35.8,POLYCAB,3.65,31-07-2026
Capital Goods,35.8,POWERINDIA,3.4,31-07-2026
Capital Goods,35.8,SCHNEIDER,0.72,31-07-2026
Capital Goods,35.8,TDPOWERSYS,1.21,31-07-2026
Capital Goods,35.8,TRITURBINE,0.45,31-07-2026
Financial Services,17.3,ABSLAMC,0.55,31-07-2026
Financial Services,17.3,ANANDRATHI,1.88,31-07-2026
Financial Services,17.3,BSE,4.82,31-07-2026
Financial Services,17.3,HDFCAMC,2.8,31-07-2026
Financial Services,17.3,MAHABANK,1.27,31-07-2026
Financial Services,17.3,MCX,4.48,31-07-2026
Financial Services,17.3,NAM-INDIA,1.5,31-07-2026
Healthcare,9.77,ACUTAAS,1.86,31-07-2026
Healthcare,9.77,AJANTPHARM,1.01,31-07-2026
Healthcare,9.77,CAPLIPOINT,0.35,31-07-2026
Healthcare,9.77,LALPATHLAB,0.84,31-07-2026
Healthcare,9.77,NATCOPHARM,0.41,31-07-2026
Healthcare,9.77,SUPRIYA,0.14,31-07-2026
Healthcare,9.77,TORNTPHARM,5.17,31-07-2026
Fast Moving Consumer Goods,6.23,AVANTIFEED,0.18,31-07-2026
Fast Moving Consumer Goods,6.23,CUPID,2.76,31-07-2026
Fast Moving Consumer Goods,6.23,GOKULAGRO,0.09,31-07-2026
Fast Moving Consumer Goods,6.23,MARICO,3.19,31-07-2026
Automobile and Auto Components,14.82,BAJAJ-AUTO,5.68,31-07-2026
Automobile and Auto Components,14.82,BANCOINDIA,0.13,31-07-2026
Automobile and Auto Components,14.82,BOSCHLTD,1.95,31-07-2026
Automobile and Auto Components,14.82,EICHERMOT,5.4,31-07-2026
Automobile and Auto Components,14.82,FIEMIND,0.14,31-07-2026
Automobile and Auto Components,14.82,FORCEMOT,0.44,31-07-2026
Automobile and Auto Components,14.82,GABRIEL,0.47,31-07-2026
Automobile and Auto Components,14.82,JAMNAAUTO,0.13,31-07-2026
Automobile and Auto Components,14.82,SHRIPISTON,0.47,31-07-2026
Oil Gas & Consumable Fuels,4.82,COALINDIA,4.82,31-07-2026
Metals & Mining,4.69,HINDCOPPER,0.87,31-07-2026
Metals & Mining,4.69,IMFA,0.1,31-07-2026
Metals & Mining,4.69,NATIONALUM,2.15,31-07-2026
Metals & Mining,4.69,NMDC,1.56,31-07-2026
Chemicals,4.43,HSCL,1.17,31-07-2026
Chemicals,4.43,SOLARINDS,3.26,31-07-2026
Information Technology,1.89,OFSS,1.89,31-07-2026
Media Entertainment & Publication,0.25,TIPSMUSIC,0.25,31-07-2026
