sector,sector_weight,symbol,weight,as_of_date
Services,15.49,ADANIPORTS,5.97,31-07-2026
Services,15.49,CONCOR,0.86,31-07-2026
Services,15.49,DELHIVERY,1.29,31-07-2026
Services,15.49,GMRAIRPORT,1.79,31-07-2026
Services,15.49,INDIGO,5.58,31-07-2026
Automobile and Auto Components,63.98,APOLLOTYRE,0.66,31-07-2026
Automobile and Auto Components,63.98,BAJAJ-AUTO,6.08,31-07-2026
Automobile and Auto Components,63.98,BALKRISIND,0.95,31-07-2026
Automobile and Auto Components,63.98,BHARATFORG,2.8,31-07-2026
Automobile and Auto Components,63.98,BOSCHLTD,1.7,31-07-2026
Automobile and Auto Components,63.98,EICHERMOT,5.15,31-07-2026
Automobile and Auto Components,63.98,EXIDEIND,0.98,31-07-2026
Automobile and Auto Components,63.98,HEROMOTOCO,3.33,31-07-2026
Automobile and Auto Components,63.98,HYUNDAI,1.48,31-07-2026
Automobile and Auto Components,63.98,M&M,14.47,31-07-2026
Automobile and Auto Components,63.98,MARUTI,8.85,31-07-2026
Automobile and Auto Components,63.98,MOTHERSON,3.18,31-07-2026
Automobile and Auto Components,63.98,MRF,1.28,31-07-2026
Automobile and Auto Components,63.98,SCHAEFFLER,0.78,31-07-2026
Automobile and Auto Components,63.98,SONACOMS,1.64,31-07-2026
Automobile and Auto Components,63.98,TIINDIA,1.4,31-07-2026
Automobile and Auto Components,63.98,TMPV,3.39,31-07-2026
Automobile and Auto Components,63.98,TVSMOTOR,4.83,31-07-2026
Automobile and Auto Components,63.98,UNOMINDA,1.02,31-07-2026
Capital Goods,7.48,ASHOKLEY,2.27,31-07-2026
Capital Goods,7.48,MAZDOCK,0.86,31-07-2026
Capital Goods,7.48,TMCV,4.35,31-07-2026
Consumer Services,13.06,ETERNAL,10.43,31-07-2026
Consumer Services,13.06,IRCTC,0.7,31-07-2026
Consumer Services,13.06,SWIGGY,1.93,31-07-2026
