sector,sector_weight,symbol,weight,as_of_date
Media Entertainment & Publication,100.0,AQYLON,3.07,31-07-2026
Media Entertainment & Publication,100.0,BAGFILMS,0.57,31-07-2026
Media Entertainment & Publication,100.0,BALAJITELE,4.26,31-07-2026
Media Entertainment & Publication,100.0,BTML,1.19,31-07-2026
Media Entertainment & Publication,100.0,CINELINE,1.12,31-07-2026
Media Entertainment & Publication,100.0,CREATIVEYE,0.07,31-07-2026
Media Entertainment & Publication,100.0,CYBERMEDIA,0.13,31-07-2026
Media Entertainment & Publication,100.0,DEN,4.02,31-07-2026
Media Entertainment & Publication,100.0,DGCONTENT,0.57,31-07-2026
Media Entertainment & Publication,100.0,DISHTV,4.56,31-07-2026
Media Entertainment & Publication,100.0,DNAMEDIA,0.16,31-07-2026
Media Entertainment & Publication,100.0,ENIL,1.83,31-07-2026
Media Entertainment & Publication,100.0,GTPL,2.01,31-07-2026
Media Entertainment & Publication,100.0,HATHWAY,4.57,31-07-2026
Media Entertainment & Publication,100.0,MUKTAARTS,0.46,31-07-2026
Media Entertainment & Publication,100.0,NAZARA,5.81,31-07-2026
Media Entertainment & Publication,100.0,NDTV,3.33,31-07-2026
Media Entertainment & Publication,100.0,NETWORK18,4.45,31-07-2026
Media Entertainment & Publication,100.0,NEXTMEDIA,0.07,31-07-2026
Media Entertainment & Publication,100.0,ONMOBILE,4.32,31-07-2026
Media Entertainment & Publication,100.0,PFOCUS,6.73,31-07-2026
Media Entertainment & Publication,100.0,PNC,0.14,31-07-2026
Media Entertainment & Publication,100.0,PVRINOX,5.73,31-07-2026
Media Entertainment & Publication,100.0,RADAAN,0.1,31-07-2026
Media Entertainment & Publication,100.0,RADIOCITY,0.75,31-07-2026
Media Entertainment & Publication,100.0,RAJTV,0.04,31-07-2026
Media Entertainment & Publication,100.0,RKSWAMY,1.94,31-07-2026
Media Entertainment & Publication,100.0,SABEVENTS,0.06,31-07-2026
Media Entertainment & Publication,100.0,SAMBHAAV,0.56,31-07-2026
Media Entertainment & Publication,100.0,SAREGAMA,5.56,31-07-2026
Media Entertainment & Publication,100.0,SHEMAROO,1.36,31-07-2026
Media Entertainment & Publication,100.0,SIGNPOST,5.56,31-07-2026
Media Entertainment & Publication,100.0,SILLYMONKS,0.12,31-07-2026
Media Entertainment & Publication,100.0,SUNTV,4.93,31-07-2026
Media Entertainment & Publication,100.0,TIPSFILMS,0.51,31-07-2026
Media Entertainment & Publication,100.0,TIPSMUSIC,5.23,31-07-2026
Media Entertainment & Publication,100.0,TVTODAY,3.08,31-07-2026
Media Entertainment & Publication,100.0,TVVISION,0.15,31-07-2026
Media Entertainment & Publication,100.0,UFO,1.65,31-07-2026
Media Entertainment & Publication,100.0,ZEEL,4.97,31-07-2026
Media Entertainment & Publication,100.0,ZEEMEDIA,4.24,31-07-2026
