Date,NIFTY 100,NIFTY 200,NIFTY 50,NIFTY 500,NIFTY INDIA FPI 150,NIFTY LARGEMIDCAP 250,NIFTY MICROCAP250,NIFTY MIDCAP 100,NIFTY MIDCAP 150,NIFTY MIDCAP 50,NIFTY MID SELECT,NIFTY MIDSMALLCAP 400,NIFTY MIDSMALLCAP400 50:50,NIFTY NEXT 50,NIFTY SMALLCAP 100,NIFTY SMALLCAP 250,NIFTY SMALLCAP 50,NIFTY SMALLCAP 500,NIFTY TOTAL MKT,NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED,NIFTY500 MULTICAP 50:25:25,NIFTY AUTO,NIFTY BANK,NIFTY CAPITAL GOODS,NIFTY CEMENT,NIFTY CHEMICALS,NIFTY COMMERCIAL & TRANSPORT SERVICES,NIFTY CONSTRUCTION,NIFTY CONSUMER DURABLES,NIFTY CONSUMER SERVICES,NIFTY FINANCIAL SERVICES,NIFTY FINANCIAL SERVICES 25/50,NIFTY FINANCIAL SERVICES EX-BANK,NIFTY FMCG,NIFTY HEALTHCARE,NIFTY HOSPITALS,NIFTY HOUSING FINANCE,NIFTY INSURANCE,NIFTY IT,NIFTY MEDIA,NIFTY METAL,NIFTY MIDSMALL FINANCIAL SERVICES,NIFTY MIDSMALL HEALTHCARE,NIFTY MIDSMALL IT & TELECOM,NIFTY NBFC,NIFTY OIL & GAS,NIFTY PHARMA,NIFTY POWER,NIFTY PRIVATE BANK,NIFTY PSU BANK,NIFTY REALTY,NIFTY REITS & REALTY,NIFTY RETAIL,NIFTY TELECOMMUNICATIONS,NIFTY500 HEALTHCARE,NIFTY 50 FUTURES TR INDEX,NIFTY ALPHA 50,NIFTY ALPHA LOW-VOLATILITY 30,NIFTY ALPHA QUALITY LOW-VOLATILITY 30,NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30,NIFTY DIVIDEND OPPS 50,NIFTY GROWTH SECTORS 15,NIFTY HIGH BETA 50,NIFTY LOW VOLATILITY 50,NIFTY MIDCAP150 MOMENTUM 50,NIFTY MIDCAP150 QUALITY 50,NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100,NIFTY QUALITY LOW-VOLATILITY 30,NIFTY SMALLCAP250 MOMENTUM QUALITY 100,NIFTY SMALLCAP250 QUALITY 50,NIFTY TOP 10 EQUAL WEIGHT,NIFTY TOP 15 EQUAL WEIGHT,NIFTY TOP 20 EQUAL WEIGHT,NIFTY TOTAL MARKET MOMENTUM QUALITY 50,NIFTY100 ALPHA 30,NIFTY100 EQUAL WEIGHT,NIFTY100 LOW VOLATILITY 30,NIFTY100 QUALTY 30,NIFTY200 ALPHA 30,NIFTY200 MOMENTUM 30,NIFTY200 QUALITY 30,NIFTY200 VALUE 30,NIFTY50 EQUAL WEIGHT,NIFTY50 VALUE 20,NIFTY500 EQUAL WEIGHT,NIFTY500 FLEXICAP QUALITY 30,NIFTY500 LOW VOLATILITY 50,NIFTY500 MOMENTUM 50,NIFTY500 MULTICAP MOMENTUM QUALITY 50,NIFTY500 MULTIFACTOR MQVLV 50,NIFTY500 QUALITY 50,NIFTY500 VALUE 50,NIFTY CAPITAL MARKETS,NIFTY COMMODITIES,NIFTY CONGLOMERATE 50,NIFTY CORE HOUSING,NIFTY CPSE,NIFTY ENERGY,NIFTY EV & NEW AGE AUTOMOTIVE,NIFTY HOUSING,NIFTY INDIA CONSUMPTION,NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP,NIFTY INDIA CORPORATE GROUP INDEX - MAHINDRA GROUP,NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP,NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP,NIFTY INDIA DEFENCE,NIFTY IND DIGITAL,NIFTY INDIA INFRASTRUCTURE & LOGISTICS,NIFTY INDIA INTERNET,NIFTY INDIA MFG,NIFTY INDIA NEW AGE CONSUMPTION,NIFTY INDIA RAILWAYS PSU,NIFTY INDIA SELECT 5 CORPORATE GROUPS (MAATR),NIFTY INDIA TOURISM,NIFTY INFRASTRUCTURE,NIFTY IPO,NIFTY MIDCAP LIQUID 15,NIFTY MIDSMALL INDIA CONSUMPTION,NIFTY MNC,NIFTY MOBILITY,NIFTY NON-CYCLICAL CONSUMER,NIFTY PSE,NIFTY REITS & INVITS,NIFTY RURAL,NIFTY SERVICES SECTOR,NIFTY SHARIAH 25,NIFTY SMALL FINANCE BANKS & MICROFINANCE INSTITUTIONS,NIFTY SME EMERGE,NIFTY SUGAR & ETHANOL,NIFTY TRANSPORTATION & LOGISTICS,NIFTY WAVES,NIFTY100 ENHANCED ESG,NIFTY100 ESG,NIFTY100 ESG SECTOR LEADERS,NIFTY100 LIQUID 15,NIFTY50 SHARIAH,NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20,NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20,NIFTY500 SHARIAH
2026-06-01,33645.29,18109.62,35303.30,35911.81,1567.12,20972.00,29200.11,82723.37,28378.90,22692.66,18148.68,25832.71,25049.51,100878.21,23278.08,21463.20,11106.43,24353.24,16626.25,22963.61,20705.29,34408.53,74931.40,20830.29,18232.30,41604.37,15354.44,14663.40,40206.02,3241.42,31805.20,36616.65,40761.86,79673.44,18171.12,4272.12,812.43,1958.68,42976.59,1750.30,20488.58,30192.17,57607.17,12564.23,66808.13,17112.09,30245.23,14384.21,30673.07,10981.95,852.58,2145.12,2817.39,4336.08,23652.24,25032.74,63055.10,33347.18,29853.88,29571.08,,13822.46,5408.13,33130.55,76640.88,32013.85,64976.12,22229.86,59873.26,35074.06,11153.16,12246.63,11025.48,56077.20,22803.72,48121.69,27100.16,,32101.18,37610.22,28771.88,26901.46,55369.97,16766.65,18529.57,12327.46,29737.30,63187.94,54216.94,44582.15,27811.52,27960.90,5886.53,15172.74,18594.62,18431.49,11911.44,70853.11,3254.90,15545.77,14043.79,11044.40,44229.99,19750.63,18920.34,9874.71,10343.16,15518.35,1225.54,20536.84,12959.96,3235.95,47012.77,8197.59,12143.75,2220.03,20239.46,21229.01,50235.56,28581.52,18158.80,18262.15,2238.11,19530.70,43239.48,10039.14,1293.89,13873.99,2452.52,30746.85,2142.34,5861.88,5818.18,4572.57,8432.20,5786.37,20585.41,18574.46,8794.19
2026-06-02,33780.80,18174.79,35455.73,36044.91,1574.42,21032.53,29518.04,82878.48,28430.71,22703.31,18117.60,25910.12,25138.72,101158.01,23371.95,21577.18,11122.19,24514.04,16692.78,23048.93,20783.82,34657.74,75031.34,20909.10,18202.71,41774.53,15532.03,14683.39,40728.93,3271.01,31618.02,36386.22,40385.28,80276.33,18077.10,4285.52,810.52,1943.87,44793.69,1752.36,20566.12,30042.22,57145.13,12823.77,66476.28,17081.15,29985.46,14324.61,30606.33,11041.87,858.25,2151.05,2841.36,4376.13,23526.95,25187.41,63180.86,33331.51,29912.27,29744.74,,14083.89,5439.57,33221.79,76527.48,32228.09,65144.34,22401.43,60199.34,35314.06,11269.12,12343.04,11105.13,56054.42,22904.14,48319.15,27219.37,,32020.68,37617.82,29108.56,26851.67,55637.91,16901.45,18625.40,12502.46,29816.87,63224.73,54288.22,44723.27,27990.20,27954.61,5856.88,15143.90,18734.26,18507.43,11802.82,70740.51,3293.02,15541.99,14148.61,11055.83,44696.24,20250.35,19289.13,9947.69,10542.55,15526.83,1229.27,20581.98,13033.14,3235.10,47443.97,8264.58,12129.95,2244.10,20215.36,21370.83,50250.63,28739.75,18312.11,18137.82,2237.68,19546.18,43444.61,10185.34,1304.39,13949.82,2460.00,30961.69,2147.61,5906.73,5862.23,4595.24,8448.90,5910.55,20614.63,18571.70,8898.77
2026-06-03,33666.28,18111.11,35338.07,35935.37,1566.51,20958.43,29587.72,82549.98,28326.99,22583.53,18011.30,25851.45,25098.53,100783.80,23345.75,21587.15,11104.29,24534.40,16645.78,22998.42,20732.08,34696.76,75689.64,20957.30,17960.76,41810.35,15483.73,14560.00,40399.19,3272.00,31738.14,36502.52,40095.07,79469.12,18175.27,4325.31,809.27,1926.22,42300.26,1742.00,20532.05,29937.93,57470.60,12533.98,66268.65,17068.71,30085.78,14272.15,30820.65,11229.45,846.33,2133.96,2849.25,4482.41,23667.36,25098.32,63437.00,33352.39,29785.65,29508.13,,13822.16,5411.74,33064.48,76405.93,31954.64,64865.75,22232.62,59954.00,34969.75,11128.97,12249.99,11007.81,56020.45,22885.26,48106.81,27084.13,,32089.97,37620.31,28622.89,26978.96,55364.47,16731.89,18595.61,12242.15,29636.14,63262.82,53962.77,44658.30,27701.23,28054.85,5800.22,15116.03,18519.48,18349.00,11848.06,70753.13,3277.66,15498.52,14108.82,11091.62,44046.98,19744.70,18969.24,9985.27,10258.60,15498.14,1213.77,20596.93,13007.45,3207.42,46996.85,8274.43,12122.48,2258.74,19965.99,21318.93,50104.12,28728.17,18243.62,18150.75,2231.19,19513.48,43294.05,9962.02,1297.08,13954.66,2442.05,30949.64,2129.17,5858.67,5815.00,4571.94,8467.14,5786.88,20628.65,18586.22,8801.27
2026-06-04,33693.04,18139.21,35354.58,36008.82,1567.77,21013.07,29842.69,82930.06,28448.68,22680.96,18058.76,25975.61,25225.18,101006.73,23460.95,21712.27,11146.81,24694.79,16684.35,23082.12,20792.87,34765.36,75859.91,21132.02,17923.39,41779.97,15558.44,14689.00,41280.72,3294.72,31834.23,36639.23,40185.15,79621.08,18237.68,4350.38,816.05,1923.92,42179.57,1780.12,20381.60,30024.36,57867.19,12579.35,66313.43,17112.52,30199.84,14268.70,30873.71,11275.35,848.56,2134.33,2858.16,4525.47,23773.85,25098.13,63777.57,33374.57,29867.94,29581.04,,13833.25,5424.72,33090.94,76747.46,32155.88,65281.60,22298.48,60357.29,35047.75,11117.65,12244.64,11033.84,56290.81,22952.60,48184.02,27067.32,,32240.81,37683.22,28741.67,27074.05,55435.01,16759.65,18680.77,12280.62,29710.10,63534.70,54237.13,44814.01,27917.15,28110.41,5866.00,15083.67,18533.48,18412.95,11900.92,71191.29,3290.47,15503.00,14172.92,11056.40,44189.30,19876.58,19090.28,10032.71,10276.13,15543.82,1219.70,20638.30,13105.62,3223.21,47036.45,8369.97,12109.37,2265.76,20144.53,21463.77,50195.92,28859.99,18375.23,18209.54,2226.53,19555.59,43337.63,9990.58,1291.79,14019.70,2466.49,31101.57,2154.34,5867.76,5823.85,4574.01,8485.69,5759.26,20659.16,18605.71,8817.69
2026-06-05,33663.33,18113.97,35295.11,35966.78,1565.99,20973.98,29841.43,82644.79,28369.92,22594.57,17958.46,25928.96,25191.67,101267.92,23447.22,21714.66,11140.92,24699.19,16665.66,23054.86,20769.86,34794.07,76123.11,21101.99,17763.56,41882.71,15604.22,14699.54,41329.83,3276.47,31866.73,36684.43,40259.38,79763.84,18353.20,4415.15,819.52,1942.11,41761.66,1842.15,20056.43,29916.67,58127.53,12513.85,66758.45,17055.73,30312.47,14388.78,30945.15,11337.70,853.31,2140.83,2839.28,4463.06,23926.19,25038.41,63659.92,33425.60,29895.96,29554.33,,13850.42,5436.30,33064.30,76606.21,32074.99,64856.93,22274.16,60168.78,35061.87,11086.00,12256.81,11039.41,56087.42,22932.83,48231.59,27073.61,,32226.06,37645.39,28612.50,26958.32,55364.13,16714.89,18676.68,12256.78,29683.95,63413.03,53897.12,44756.33,27701.45,27933.63,5783.87,14973.63,18528.71,18397.49,11802.33,71048.63,3299.07,15489.72,14182.33,10962.90,44400.84,19696.57,18889.16,10039.04,10210.05,15543.50,1217.77,20566.75,13088.33,3220.77,47069.58,8331.51,12083.72,2271.35,19965.25,21423.74,50207.90,28861.26,18359.31,18134.38,2227.95,19567.25,43237.48,9969.27,1301.41,14086.88,2472.33,31140.99,2198.92,5881.97,5837.73,4574.53,8464.92,5734.12,20610.58,18587.28,8791.76
2026-06-08,33268.45,17893.38,34926.96,35499.82,1546.63,20696.53,29257.78,81489.52,27955.10,22384.72,17814.91,25520.87,24781.70,99512.71,22998.16,21325.53,10961.81,24246.13,16444.69,22714.21,20478.66,34150.23,75518.94,20684.38,17471.20,41153.50,15301.50,14372.16,40712.25,3219.02,31546.47,36260.06,39561.13,79427.33,18369.59,4465.69,799.21,1915.25,41248.13,1810.68,19589.23,29612.54,58009.42,12338.59,64985.59,16787.75,30186.96,14259.35,30737.11,11256.00,831.49,2116.79,2790.82,4345.02,23907.84,24755.15,62269.15,33155.25,29658.02,29309.76,,13725.61,5319.66,32769.70,75186.19,31596.36,63859.21,22115.07,59070.83,34565.79,10985.42,12135.31,10930.46,55041.65,22565.92,47521.94,26805.59,,31656.78,37097.83,28389.81,26618.29,54715.85,16598.10,18354.17,12149.50,29448.38,62337.89,53149.18,44155.75,27258.35,27571.16,5727.89,14734.78,18161.95,18095.85,11819.04,69885.24,3231.46,15265.63,14043.16,10730.16,43722.68,19336.50,18545.65,9933.39,10058.70,15306.22,1195.34,20239.62,12856.98,3162.19,46174.63,8164.95,11959.12,2240.00,19852.44,21215.05,49459.66,28315.54,18174.43,18065.20,2225.58,19354.25,42916.25,9880.08,1281.67,13932.22,2467.10,30532.48,2150.99,5809.43,5765.80,4518.66,8384.68,5690.79,20315.77,18343.82,8675.40
2026-06-09,33495.39,18039.24,35106.89,35814.34,1557.42,20906.18,29802.66,82591.09,28324.57,22659.23,18051.75,25861.89,25114.58,100912.80,23386.79,21616.58,11135.87,24607.44,16597.07,22969.64,20686.42,34607.49,77098.45,20895.23,17554.73,41767.23,15609.72,14616.15,40759.38,3246.06,31988.35,36768.34,40197.24,80003.21,18470.94,4492.03,811.81,1928.02,41050.46,1808.00,19700.62,30233.54,58488.89,12307.86,66224.81,16839.31,30365.25,14186.83,31239.97,11663.78,845.01,2135.42,2813.54,4355.08,24077.39,24926.48,63375.82,33454.71,29972.61,29539.89,,13766.51,5403.51,32976.07,76357.67,31967.41,64785.78,22309.12,59921.54,34885.80,11043.14,12238.28,10966.49,55757.74,22833.35,47994.09,26960.03,,32167.30,37759.07,28556.37,26910.18,54969.82,16693.21,18590.74,12229.98,29647.29,63392.28,53903.31,44810.06,27544.57,27834.25,5820.10,14780.99,18288.50,18347.91,11710.40,70004.18,3281.46,15387.64,14122.46,10827.89,43898.10,19351.99,18528.82,10102.81,10074.29,15401.46,1210.45,20422.46,12989.78,3197.24,46474.71,8331.83,12004.91,2283.48,20115.90,21404.69,49841.96,28662.53,18291.30,18066.24,2232.76,19517.92,43178.96,9917.42,1306.14,13978.35,2477.93,30901.14,2158.04,5853.21,5809.09,4544.01,8452.59,5692.71,20507.70,18438.84,8730.13
2026-06-10,33392.14,17941.35,35065.85,35597.05,1547.39,20731.40,29373.68,81367.33,27949.30,22340.13,17810.44,25535.66,24805.42,99771.45,23078.32,21370.76,10980.29,24306.80,16490.57,22756.68,20526.35,34352.06,76966.88,20586.09,17498.24,41843.26,15417.26,14506.03,40284.61,3213.56,32056.76,36732.94,39612.61,80844.79,18400.69,4486.55,799.54,1897.94,40710.26,1765.36,19365.91,29667.18,57961.06,12120.64,65335.60,16590.06,30203.30,13948.12,31464.14,11501.91,830.32,2117.92,2782.03,4270.34,23957.32,24833.43,62382.26,33448.12,30014.68,29545.38,,13727.53,5311.14,32992.88,75354.54,31753.96,63838.83,22375.65,59029.20,34572.80,11101.13,12279.62,10962.65,55109.93,22554.39,47549.82,26999.67,,31610.55,37298.62,28433.11,26444.76,54674.90,16703.82,18395.99,12139.76,29466.15,62527.71,53385.89,44304.45,27207.70,27369.49,5713.85,14552.62,18126.08,18212.78,11495.89,68588.91,3258.53,15304.36,14072.00,10672.66,43410.48,19237.61,18383.68,9947.47,9975.99,15217.39,1198.37,20240.31,12857.71,3144.66,45883.34,8286.09,11924.42,2262.50,19763.53,21239.07,49708.66,28439.17,18253.93,17780.60,2230.89,19418.07,43196.04,9913.77,1285.20,13861.85,2442.09,30621.68,2110.99,5817.38,5773.47,4528.72,8399.63,5671.68,20305.79,18227.02,8669.78
2026-06-11,33259.64,17855.46,34985.25,35405.87,1539.14,20600.20,29043.30,80707.77,27710.66,22156.55,17651.70,25319.20,24595.89,98651.96,22923.04,21192.19,10939.96,24085.55,16397.97,22598.23,20398.73,34294.63,77073.67,20333.92,17381.92,41312.36,15298.22,14238.88,39819.45,3172.26,31987.78,36608.79,39077.10,80126.11,18461.78,4478.39,790.45,1876.57,40049.65,1796.83,19316.05,29422.06,58120.55,12022.79,64558.95,16553.38,30386.10,13764.71,31635.93,11399.30,824.95,2113.37,2746.20,4269.36,24029.10,24794.75,61887.32,33362.12,29858.23,29393.81,,13657.00,5248.50,32863.95,74590.78,31439.64,63411.00,22256.78,58660.97,34236.03,11087.74,12257.79,10928.76,54579.89,22363.85,47165.37,26924.89,,31334.19,36964.45,28103.78,26204.39,54402.86,16678.79,18228.30,12013.57,29303.66,62147.23,52848.87,43938.70,26837.24,27189.71,5669.84,14465.27,17983.80,18083.70,11435.67,68072.28,3237.63,15223.25,13997.95,10641.93,43708.22,19072.23,18213.86,9739.27,9865.93,15075.97,1182.99,20150.30,12766.88,3114.38,45621.61,8200.45,11876.65,2244.68,19619.03,21077.89,49372.53,28233.33,18092.51,17599.77,2231.88,19308.19,43097.09,9831.89,1269.87,13692.30,2443.72,30440.47,2121.15,5773.87,5730.52,4510.59,8376.38,5612.09,20225.89,18126.52,8590.27
2026-06-12,33958.85,18242.60,35695.33,36193.53,1569.60,21067.65,29928.36,82674.03,28382.92,22682.56,18134.26,25951.38,25218.37,101040.44,23568.84,21750.66,11229.24,24742.91,16768.36,23137.97,20871.38,34964.13,79361.75,20941.50,17831.18,42100.14,15732.87,14798.50,40780.01,3249.01,32994.19,37712.00,40575.65,80631.05,18522.78,4504.37,825.39,1888.80,40013.27,1823.89,19570.35,30419.88,58439.27,12150.50,68400.26,16918.18,30477.47,13952.70,32534.19,11707.90,854.09,2141.11,2804.80,4392.62,24137.37,25318.97,63764.01,33856.54,30227.79,29741.20,,13765.65,5408.02,33294.74,77019.64,32070.58,65089.21,22501.00,60153.74,35051.99,11348.63,12548.11,11174.42,55889.16,22838.00,48097.70,27324.58,,32257.60,38136.75,28357.15,26716.72,55198.91,16861.21,18675.83,12204.59,29632.60,64063.65,54012.85,44832.37,27378.62,27640.75,5865.91,14690.04,18467.21,18511.49,11424.00,69126.57,3305.75,15599.90,14228.11,10883.75,44048.06,19533.66,18695.95,9953.34,10029.98,15486.54,1222.94,20500.62,13091.57,3186.55,46474.09,8467.96,12157.74,2285.61,20196.57,21518.20,50170.64,29044.51,18420.90,17804.56,2226.63,19730.71,44093.64,9891.01,1324.89,13921.75,2488.12,31256.84,2158.27,5878.17,5834.04,4604.35,8597.71,5634.88,20558.69,18583.96,8706.15
